id,color,root,knocking,texture,navel,tactilesensation,goodmelon
1,Turquoise,curled,turbid,clear,concave,hardandsmooth,yes
2,Dark,curled,dull,clear,concave,hardandsmooth,yes
3,Black,curled,turbid,clear,concave,hardandsmooth,yes
4,Turquoise,curled,dull,clear,concave,hardandsmooth,yes
5,Lightwhite,curled,turbid,clear,concave,hardandsmooth,yes
6,Green,slightlycurled,turbid,clear,slightlyconcave,softandsticky,yes
7,Dark,slightlycurled,turbid,slightlypaste,slightlyconcave,softandsticky,yes
8,Dark,slightlycurled,turbid,clear,slightlyconcave,hardandsmooth,yes
9,Dark,slightlycurled,dull,slightlypaste,slightlyconcave,hardandsmooth,no
10,Green,hard,crisp,clear,flat,softandsticky,no
11,Light,hard,crisp,fuzzy,flat,hardandsmooth,no
12,Lightwhite,curled,turbid,fuzzy,flat,softandsticky,no
13,Turquoise,slightlycurled,turbid,slightlypaste,concave,hardandsmooth,no
14,Lightwhite,slightlycurled,dull,slightlypaste,sunken,hardsliding,no
15,Dark,slightlycurled,turbid,clear,slightlyconcave,softandsticky,no
16,lightwhite,curled,turbid,fuzzy,flat,hardandsmooth,no
17,Turquoise,curled,dull,slightlypaste,slightlyconcave,hardandsmooth,no
